Manufacturer,Model,Gen.,Year,Year-Format,Width,Height,Cells,Type,Velocity,Display,Add. Buttons,Add. Misc UI,Tesselation
Korg,SQ-64,1,2020,2020-01-01,16,4,64,Sequencer,No,Yes,Yes,Yes,r
Casio,Trackformer XW-PD1,1,2015,2015-01-01,4,4,16,Instrument,Yes,Yes,Yes,Yes,r
Teenage Engineering,PO-12,1,2015,2015-01-01,5,4,20,Instrument,No,Yes,Yes,Yes,r
Teenage Engineering,PO-14,1,2015,2015-01-01,5,4,20,Instrument,No,Yes,Yes,Yes,r
Teenage Engineering,PO-16,1,2015,2015-01-01,5,4,20,Instrument,No,Yes,Yes,Yes,r
Teenage Engineering,PO-20,1,2016,2016-01-01,5,4,20,Instrument,No,Yes,Yes,Yes,r
Teenage Engineering,PO-24,1,2016,2016-01-01,5,4,20,Instrument,No,Yes,Yes,Yes,r
Teenage Engineering,PO-28,1,2016,2016-01-01,5,4,20,Instrument,No,Yes,Yes,Yes,r
Teenage Engineering,PO-32,1,2018,2018-01-01,5,4,20,Instrument,No,Yes,Yes,Yes,r
Teenage Engineering,PO-33,1,2018,2018-01-01,5,4,20,Instrument,No,Yes,Yes,Yes,r
Teenage Engineering,PO-35,1,2018,2018-01-01,5,4,20,Instrument,No,Yes,Yes,Yes,r
TipTop Audio,Circadian Rhythm,1,2014,2014-01-01,9,8,72,Sequencer,No,No,No,Yes,r
Make Noise,Rene Mk2,2,2018,2018-01-01,4,4,16,Sequencer,No,No,Yes,Yes,r
Bastl Instruments,Knit Rider,1,2015,2015-01-01,4,8,32,Sequencer,No,No,No,No,r
Erica Synths,Drum Sequencer,1,2018,2018-01-01,4,4,16,Sequencer,No,Yes,Yes,Yes,r
Centrevillage,TriggerHacKer,1,2018,2018-01-01,5,5,25,Sequencer,No,No,No,No,r
Irijule,Theory Board,1,2019,2019-01-01,12,4,48,Sequencer,Yes,Yes,Yes,No,r
Bhoreal,Bhoreal,1,2013,2013-01-01,8,8,64,Controller,No,No,No,No,r
Bhoreal,Mini Slim,1,2014,2014-01-01,4,4,16,Controller,No,No,No,Yes,r
IK Multimedia,iRig PADS,1,2014,2014-01-01,4,4,16,Controller,Yes,No,Yes,Yes,r
Dave Smith,Tempest,1,2011,2011-01-01,8,2,16,Instrument,Yes,Yes,Yes,Yes,r
Twisted Electrons,Deton8,1,2019,2019-01-01,8,2,16,Instrument,No,No,Yes,Yes,r
Twisted Electrons,Crazy8 Beats,1,2018,2018-01-01,8,2,16,Sequencer,No,No,Yes,Yes,r
Tech Will Save Us,Arcade Coder,1,2019,2019-01-01,12,12,144,Controller,No,No,No,No,r
Numark,Orbit,1,2013,2013-01-01,4,4,16,Controller,No,No,Yes,Yes,r
Nao Next,Crystal Ball,1,2014,2014-01-01,6,4,24,Controller,No,No,No,Yes,r
Torso Electronics,T-1 MIDI Sequencer,1,2020,2020-01-01,8,2,16,Sequencer,No,No,Yes,Yes,r
BirdKids,Grid,1,2020,2020-01-01,4,4,16,Controller,No,No,Yes,Yes,r
Rane,SEVENTY-TWO,1,2017,2017-01-01,4,2,8,Mixer,Yes,Yes,Yes,Yes,r
Rane,SEVENTY-TWO,2,2020,2020-01-01,4,2,8,Mixer,Yes,Yes,Yes,Yes,r
Rane,SEVENTY,1,2020,2020-01-01,4,2,8,Mixer,Yes,Yes,Yes,Yes,r
Lumatone,Microtonal Keyboard,1,2020,2020-01-01,,,257,Keyboard,Yes,No,No,Yes,h
Nektar,Aura Beat,1,2020,2020-01-01,4,4,16,Controller,Yes,Yes,Yes,Yes,r
midiohy,loopA,1,2018,2018-01-01,7,2,14,Sequencer,No,Yes,No,Yes,h
Snyderphonics,Manta,1,2009,2009-01-01,8,6,48,Instrument,Yes,No,Yes,Yes,h
Intech Studio,Grid,1,2019,2019-01-01,4,4,16,Controller,No,No,No,No,r
Special Waves,Mine S,1,2020,2020-01-01,4,8,32,Controller,Yes,No,Yes,Yes,r
